City,Area in BLS
"Portland, OR","Portland-Vancouver-Hillsboro, OR-WA"
"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Seattle, WA","Seattle-Tacoma-Bellevue, WA"
"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA"
"Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC"
"Denver, CO","Denver-Aurora-Lakewood, CO"
"Austin, TX","Austin-Round Rock, TX"
"Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA"
"New York, NY","New York-Newark-Jersey City, NY-NJ-PA"
"Oakland, CA","San Francisco-Oakland-Hayward, CA"
"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"Albuquerque, NM","Albuquerque, NM"
"San Diego, CA","San Diego-Carlsbad, CA"
"Baltimore, MD","Baltimore-Columbia-Towson, MD"
"Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA"
"Fort Worth, TX","Dallas-Fort Worth-Arlington, TX"
"Omaha, NE","Omaha-Council Bluffs, NE-IA"
"Boston, MA","Boston-Cambridge-Nashua, MA-NH NECTA"
"Houston, TX","Houston-The Woodlands-Sugar Land, TX"
