city,year,Civilian employed population 16 years and ove,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,,,,,,,,,
"Portland, OR",2005,263362,1532,14616,27405,9473,28702,11812,7174,21026,35224,56213,28163,11909,10113,,,,,,,,,
"Portland, OR",2006,284436,1933,16347,29369,10745,29881,12213,7164,20455,40195,58992,32332,14935,9875,,,,,,,,,
"Portland, OR",2007,288530,2957,17367,28382,9810,31787,15764,8886,17740,38721,60284,30480,15474,10878,,,,,,,,,
"Portland, OR",2008,297337,1311,15191,30398,9711,30908,15430,8560,20131,42049,68271,30465,13879,11033,,,,,,,,,
"Portland, OR",2009,295301,2108,11715,29315,10820,30531,13414,9916,18075,40951,72209,29359,16407,10481,,,,,,,,,
"Portland, OR",2010,291804,2118,11981,27923,8551,30773,11981,9099,17618,38564,74020,33122,15078,10976,,,,,,,,,
"Portland, OR",2011,307043,1300,11236,29439,10341,34919,13588,6550,18787,39601,75926,39376,16557,9423,,,,,,,,,
"Portland, OR",2012,313933,1309,12711,28117,10724,32761,11131,7456,19075,43142,83175,34985,18325,11022,,,,,,,,,
"Portland, OR",2013,319767,3112,14045,29570,9919,34391,11915,7837,18583,47225,80503,36044,17710,8913,,,,,,,,,
"Portland, OR",2014,333386,2387,12954,31847,10237,35239,12428,8095,21164,47853,78864,42182,19305,10831,,,,,,,,,
"Portland, OR",2015,342938,3026,13749,29176,9122,34159,14099,8723,20828,51157,91661,39835,16889,10514,,,,,,,,,
"Portland, OR",2016,352809,1906,13206,32062,11104,38053,16788,9323,21261,54579,86060,39290,16142,13035,,,,,,,,,
"Washington, DC",2005,255385,166,9338,4172,1481,11550,8351,12914,18176,55558,49450,22770,21279,40180,,,,,,,,,
"Washington, DC",2006,288360,917,8680,3440,1738,13193,8331,13972,19819,68928,56652,26308,20912,45470,,,,,,,,,
"Washington, DC",2007,292422,174,8808,3678,2275,16673,10206,14542,18784,62792,56783,25697,26096,45914,,,,,,,,,
"Washington, DC",2008,306366,866,10606,4439,1840,16223,9990,11965,19775,63936,61271,30005,26243,49207,,,,,,,,,
"Washington, DC",2009,293927,227,7287,4582,2448,14797,7585,12542,18668,64545,57347,27332,25028,51539,,,,,,,,,
"Washington, DC",2010,299127,174,8866,3113,2717,15923,11159,11748,15640,66452,55973,26169,26834,54359,,,,,,,,,
"Washington, DC",2011,310607,108,10818,3689,1736,14239,11208,12933,18262,64799,62135,26050,28427,56203,,,,,,,,,
"Washington, DC",2012,326957,208,10668,4116,1641,15412,10682,14367,16628,70682,66389,32087,30264,53813,,,,,,,,,
"Washington, DC",2013,333111,277,8293,4492,1848,18078,7924,10770,16480,79915,67816,30479,29866,56873,,,,,,,,,
"Washington, DC",2014,345592,210,9624,3775,1607,17048,10365,13566,23225,80921,66325,35971,29973,52982,,,,,,,,,
"Washington, DC",2015,361179,195,9342,5025,1932,18086,9754,14995,22532,83089,70276,35208,31896,58849,,,,,,,,,
"Washington, DC",2016,364797,528,9659,4429,2026,16955,13119,12562,24139,83348,67446,37492,34800,58294,,,,,,,,,
"Minneapolis, MN",2005,194586,754,7700,17679,5031,18639,8100,5148,17392,30009,44134,24081,10930,4989,,,,,,,,,
"Minneapolis, MN",2006,198755,440,6947,18255,5239,19608,7338,6867,18541,29000,48651,23593,9582,4694,,,,,,,,,
"Minneapolis, MN",2007,195660,216,7278,18898,4176,19887,8148,6557,17662,28554,45375,24106,9146,5657,,,,,,,,,
"Minneapolis, MN",2008,197024,785,5868,16698,5269,24881,8492,5786,16072,28493,46913,22241,11205,4321,,,,,,,,,
"Minneapolis, MN",2009,211942,636,6836,18926,5031,24163,6427,6393,15682,32835,55372,25446,9625,4570,,,,,,,,,
"Minneapolis, MN",2010,203772,1131,6649,14582,4316,25573,6015,5202,14964,29537,56266,24456,8894,6187,,,,,,,,,
"Minneapolis, MN",2011,202995,591,4633,15742,4751,21494,6015,4367,17443,33189,55097,25294,8493,5886,,,,,,,,,
"Minneapolis, MN",2012,216927,1905,5797,18011,4259,22031,6297,5165,17693,32656,57596,29101,10703,5713,,,,,,,,,
"Minneapolis, MN",2013,220915,1038,5815,19321,4354,23861,7634,5580,17426,34756,59844,27243,9215,4828,,,,,,,,,
"Minneapolis, MN",2014,229462,1081,6322,21257,4787,24085,8925,6190,17789,32560,61407,30124,9298,5637,,,,,,,,,
"Minneapolis, MN",2015,238224,782,8878,18941,5618,24693,8417,5781,17487,35654,62853,31547,11361,6212,,,,,,,,,
"Minneapolis, MN",2016,236140,1150,8145,20481,4927,24013,9132,5552,19511,34598,61063,31265,10867,5436,,,,,,,,,
"Seattle, WA",2005,309941,597,13102,25497,11123,29866,12551,15193,22022,50469,71698,31692,15155,10976,,,,,,,,,
"Seattle, WA",2006,327270,1278,17515,29277,8934,28106,12527,16944,25531,55498,72438,29366,19524,10332,,,,,,,,,
"Seattle, WA",2007,332632,986,15779,21823,8673,34365,13002,15180,24859,56333,77613,38771,13416,11832,,,,,,,,,
"Seattle, WA",2008,346567,1211,17150,24229,8702,32096,13296,13231,23422,64084,79380,38193,18994,12579,,,,,,,,,
"Seattle, WA",2009,360852,1671,14468,29198,9698,34331,12562,14395,23296,64250,84563,40775,19052,12593,,,,,,,,,
"Seattle, WA",2010,344373,1434,11732,23784,8080,37252,11146,9889,21374,69791,84081,35020,17024,13766,,,,,,,,,
"Seattle, WA",2011,354009,1803,10081,26159,7109,42354,11098,14224,20674,66381,84736,40592,18095,10703,,,,,,,,,
"Seattle, WA",2012,371305,2085,10426,24745,5249,36383,9869,13011,22705,76999,90877,46898,19194,12864,,,,,,,,,
"Seattle, WA",2013,382794,1005,12409,27248,9316,44783,11822,16350,22310,76056,88035,40645,19922,12893,,,,,,,,,
"Seattle, WA",2014,390943,2117,11422,28337,7158,47514,14655,15890,20538,81877,87413,41633,19157,13232,,,,,,,,,
"Seattle, WA",2015,415016,1367,13960,25659,8984,49858,13169,15587,26631,84125,96607,47565,19008,12496,,,,,,,,,
"Seattle, WA",2016,425827,3015,12887,29896,9916,50550,15128,18031,26329,87752,94157,48282,18679,11205,,,,,,,,,
"Atlanta, GA",2005,194045,1358,10899,10839,5384,21750,10668,6666,18053,33476,37235,19691,7985,10041,,,,,,,,,
"Atlanta, GA",2006,209905,466,12949,11749,6379,18892,12801,9584,18528,37101,35677,26354,9438,9987,,,,,,,,,
"Atlanta, GA",2007,212713,278,10120,8865,5605,23999,11429,8216,20107,40426,38486,25492,10999,8691,,,,,,,,,
"Atlanta, GA",2008,219565,208,13660,13390,6967,17360,12355,8962,17651,39991,43385,26688,10199,8749,,,,,,,,,
"Atlanta, GA",2009,257552,157,10003,14177,10509,27302,11672,9552,23122,47192,53027,29427,12603,8809,,,,,,,,,
"Atlanta, GA",2010,192234,664,7755,11038,5093,20174,11482,9981,13693,35458,37327,21629,8929,9011,,,,,,,,,
"Atlanta, GA",2011,203943,272,6703,8311,6879,19450,13454,8348,15307,38832,43935,24554,10249,7649,,,,,,,,,
"Atlanta, GA",2012,208734,509,5645,11105,4049,19395,11287,7440,15894,45505,47875,24157,7276,8597,,,,,,,,,
"Atlanta, GA",2013,209697,579,6345,10554,5745,23076,9160,7967,18606,41711,42986,24094,9949,8925,,,,,,,,,
"Atlanta, GA",2014,217487,246,3933,10675,5832,20839,10176,9131,20303,42291,50248,22916,12291,8606,,,,,,,,,
"Atlanta, GA",2015,234514,160,7893,12244,6611,21792,13677,9255,17906,45595,51642,28035,9721,9983,,,,,,,,,
"Atlanta, GA",2016,238663,264,7296,13301,6492,22859,12369,9406,20265,45677,48666,30173,12373,9522,,,,,,,,,
"Virginia Beach, VA",2005,205742,565,12766,13164,5698,26664,8844,6639,16812,23349,40086,20080,10062,21013,,,,,,,,,
"Virginia Beach, VA",2006,213221,1121,17550,12602,4635,22988,8836,7181,18151,25269,45353,18581,8655,22299,,,,,,,,,
"Virginia Beach, VA",2007,209817,781,15106,13611,4093,25527,9570,6609,15661,24332,47158,18832,9217,19320,,,,,,,,,
"Virginia Beach, VA",2008,206902,491,16656,12158,4552,30981,9644,6014,16943,24912,40687,16895,9992,16977,,,,,,,,,
"Virginia Beach, VA",2009,207313,744,15819,12673,5754,27730,9171,5280,15056,25497,42537,21908,10468,14676,,,,,,,,,
"Virginia Beach, VA",2010,213470,467,14883,13232,5265,25255,7393,4674,15716,27886,44330,23527,9312,"21,53",,,,,,,,,
"Virginia Beach, VA",2011,213433,429,12039,13932,4784,25176,8677,5342,15279,25460,43727,25549,10628,22411,,,,,,,,,
"Virginia Beach, VA",2012,212316,952,14907,14117,4031,24235,7000,3543,17226,25374,46193,21744,12129,20865,,,,,,,,,
"Virginia Beach, VA",2013,218881,589,12715,13772,3373,24876,7870,5183,16962,26952,49730,25463,11165,20231,,,,,,,,,
"Virginia Beach, VA",2014,217407,1002,13377,15208,4909,28651,8044,4575,17567,24319,44422,22220,9074,24039,,,,,,,,,
"Virginia Beach, VA",2015,217289,937,15578,12741,5850,24915,7272,4880,15282,25275,48861,25125,10027,20546,,,,,,,,,
"Virginia Beach, VA",2016,224753,882,14845,12934,4122,28272,10403,3416,17038,27792,49109,26308,9456,20176,,,,,,,,,
"Denver, CO",2005,277426,1170,24594,13398,7819,25744,11744,12742,26575,47501,48277,29931,17272,10659,,,,,,,,,
"Denver, CO",2006,279380,1150,26751,17513,7784,27980,13958,13404,25404,42016,49484,29195,13467,11274,,,,,,,,,
"Denver, CO",2007,297451,2075,29527,17073,7504,26769,16017,12722,26139,47356,54173,31618,15383,11095,,,,,,,,,
"Denver, CO",2008,312052,2403,24623,18304,9808,30663,15363,13936,23281,54269,55648,36437,15117,12200,,,,,,,,,
"Denver, CO",2009,312719,3915,20996,14364,10349,31242,12604,13603,25163,51895,60282,38353,18056,11897,,,,,,,,,
"Denver, CO",2010,301802,2992,20879,18646,8827,27807,10990,11353,23986,51414,60833,36967,15328,11780,,,,,,,,,
"Denver, CO",2011,319442,3091,21289,16514,10445,29422,14677,10127,24660,55337,65832,38039,15956,14053,,,,,,,,,
"Denver, CO",2012,334303,3755,22376,17555,8784,29224,14677,11178,28865,58928,67593,41065,16341,13962,,,,,,,,,
"Denver, CO",2013,347626,5723,22531,17445,9291,35488,15270,12074,28785,61469,70547,40597,17100,11306,,,,,,,,,
"Denver, CO",2014,360419,5201,27997,19678,9373,30257,14431,12186,29932,60322,74447,44398,18100,14097,,,,,,,,,
"Denver, CO",2015,372635,5105,31056,20671,10599,35040,16013,13035,29016,64863,71900,42319,18638,14380,,,,,,,,,
"Denver, CO",2016,384689,3175,29197,17903,8999,34439,16125,12973,33449,67437,81994,45263,20378,13357,,,,,,,,,
