city,year,Civilian employed population 16 years and ove,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,,,,,,,,,
"Portland, OR",2005,"263,362","1,532","14,616","27,405","9,473","28,702","11,812","7,174","21,026","35,224","56,213","28,163","11,909","10,113",,,,,,,,,
"Portland, OR",2006,"284,436","1,933","16,347","29,369","10,745","29,881","12,213","7,164","20,455","40,195","58,992","32,332","14,935","9,875",,,,,,,,,
"Portland, OR",2007,"288,530","2,957","17,367","28,382","9,810","31,787","15,764","8,886","17,740","38,721","60,284","30,480","15,474","10,878",,,,,,,,,
"Portland, OR",2008,"297,337","1,311","15,191","30,398","9,711","30,908","15,430","8,560","20,131","42,049","68,271","30,465","13,879","11,033",,,,,,,,,
"Portland, OR",2009,"295,301","2,108","11,715","29,315","10,820","30,531","13,414","9,916","18,075","40,951","72,209","29,359","16,407","10,481",,,,,,,,,
"Portland, OR",2010,"291,804","2,118","11,981","27,923","8,551","30,773","11,981","9,099","17,618","38,564","74,020","33,122","15,078","10,976",,,,,,,,,
"Portland, OR",2011,"307,043","1,300","11,236","29,439","10,341","34,919","13,588","6,550","18,787","39,601","75,926","39,376","16,557","9,423",,,,,,,,,
"Portland, OR",2012,"313,933","1,309","12,711","28,117","10,724","32,761","11,131","7,456","19,075","43,142","83,175","34,985","18,325","11,022",,,,,,,,,
"Portland, OR",2013,"319,767","3,112","14,045","29,570","9,919","34,391","11,915","7,837","18,583","47,225","80,503","36,044","17,710","8,913",,,,,,,,,
"Portland, OR",2014,"333,386","2,387","12,954","31,847","10,237","35,239","12,428","8,095","21,164","47,853","78,864","42,182","19,305","10,831",,,,,,,,,
"Portland, OR",2015,"342,938","3,026","13,749","29,176","9,122","34,159","14,099","8,723","20,828","51,157","91,661","39,835","16,889","10,514",,,,,,,,,
"Portland, OR",2016,"352,809","1,906","13,206","32,062","11,104","38,053","16,788","9,323","21,261","54,579","86,060","39,290","16,142","13,035",,,,,,,,,
"Washington, DC",2005,"255,385",166,"9,338","4,172","1,481","11,550","8,351","12,914","18,176","55,558","49,450","22,770","21,279","40,180",,,,,,,,,
"Washington, DC",2006,"288,360",917,"8,680","3,440","1,738","13,193","8,331","13,972","19,819","68,928","56,652","26,308","20,912","45,470",,,,,,,,,
"Washington, DC",2007,"292,422",174,"8,808","3,678","2,275","16,673","10,206","14,542","18,784","62,792","56,783","25,697","26,096","45,914",,,,,,,,,
"Washington, DC",2008,"306,366",866,"10,606","4,439","1,840","16,223","9,990","11,965","19,775","63,936","61,271","30,005","26,243","49,207",,,,,,,,,
"Washington, DC",2009,"293,927",227,"7,287","4,582","2,448","14,797","7,585","12,542","18,668","64,545","57,347","27,332","25,028","51,539",,,,,,,,,
"Washington, DC",2010,"299,127",174,"8,866","3,113","2,717","15,923","11,159","11,748","15,640","66,452","55,973","26,169","26,834","54,359",,,,,,,,,
"Washington, DC",2011,"310,607",108,"10,818","3,689","1,736","14,239","11,208","12,933","18,262","64,799","62,135","26,050","28,427","56,203",,,,,,,,,
"Washington, DC",2012,"326,957",208,"10,668","4,116","1,641","15,412","10,682","14,367","16,628","70,682","66,389","32,087","30,264","53,813",,,,,,,,,
"Washington, DC",2013,"333,111",277,"8,293","4,492","1,848","18,078","7,924","10,770","16,480","79,915","67,816","30,479","29,866","56,873",,,,,,,,,
"Washington, DC",2014,"345,592",210,"9,624","3,775","1,607","17,048","10,365","13,566","23,225","80,921","66,325","35,971","29,973","52,982",,,,,,,,,
"Washington, DC",2015,"361,179",195,"9,342","5,025","1,932","18,086","9,754","14,995","22,532","83,089","70,276","35,208","31,896","58,849",,,,,,,,,
"Washington, DC",2016,"364,797",528,"9,659","4,429","2,026","16,955","13,119","12,562","24,139","83,348","67,446","37,492","34,800","58,294",,,,,,,,,
"Minneapolis, MN",2005,"194,586",754,"7,700","17,679","5,031","18,639","8,100","5,148","17,392","30,009","44,134","24,081","10,930","4,989",,,,,,,,,
"Minneapolis, MN",2006,"198,755",440,"6,947","18,255","5,239","19,608","7,338","6,867","18,541","29,000","48,651","23,593","9,582","4,694",,,,,,,,,
"Minneapolis, MN",2007,"195,660",216,"7,278","18,898","4,176","19,887","8,148","6,557","17,662","28,554","45,375","24,106","9,146","5,657",,,,,,,,,
"Minneapolis, MN",2008,"197,024",785,"5,868","16,698","5,269","24,881","8,492","5,786","16,072","28,493","46,913","22,241","11,205","4,321",,,,,,,,,
"Minneapolis, MN",2009,"211,942",636,"6,836","18,926","5,031","24,163","6,427","6,393","15,682","32,835","55,372","25,446","9,625","4,570",,,,,,,,,
"Minneapolis, MN",2010,"203,772","1,131","6,649","14,582","4,316","25,573","6,015","5,202","14,964","29,537","56,266","24,456","8,894","6,187",,,,,,,,,
"Minneapolis, MN",2011,"202,995",591,"4,633","15,742","4,751","21,494","6,015","4,367","17,443","33,189","55,097","25,294","8,493","5,886",,,,,,,,,
"Minneapolis, MN",2012,"216,927","1,905","5,797","18,011","4,259","22,031","6,297","5,165","17,693","32,656","57,596","29,101","10,703","5,713",,,,,,,,,
"Minneapolis, MN",2013,"220,915","1,038","5,815","19,321","4,354","23,861","7,634","5,580","17,426","34,756","59,844","27,243","9,215","4,828",,,,,,,,,
"Minneapolis, MN",2014,"229,462","1,081","6,322","21,257","4,787","24,085","8,925","6,190","17,789","32,560","61,407","30,124","9,298","5,637",,,,,,,,,
"Minneapolis, MN",2015,"238,224",782,"8,878","18,941","5,618","24,693","8,417","5,781","17,487","35,654","62,853","31,547","11,361","6,212",,,,,,,,,
"Minneapolis, MN",2016,"236,140","1,150","8,145","20,481","4,927","24,013","9,132","5,552","19,511","34,598","61,063","31,265","10,867","5,436",,,,,,,,,
"Seattle, WA",2005,"309,941",597,"13,102","25,497","11,123","29,866","12,551","15,193","22,022","50,469","71,698","31,692","15,155","10,976",,,,,,,,,
"Seattle, WA",2006,"327,270","1,278","17,515","29,277","8,934","28,106","12,527","16,944","25,531","55,498","72,438","29,366","19,524","10,332",,,,,,,,,
"Seattle, WA",2007,"332,632",986,"15,779","21,823","8,673","34,365","13,002","15,180","24,859","56,333","77,613","38,771","13,416","11,832",,,,,,,,,
"Seattle, WA",2008,"346,567","1,211","17,150","24,229","8,702","32,096","13,296","13,231","23,422","64,084","79,380","38,193","18,994","12,579",,,,,,,,,
"Seattle, WA",2009,"360,852","1,671","14,468","29,198","9,698","34,331","12,562","14,395","23,296","64,250","84,563","40,775","19,052","12,593",,,,,,,,,
"Seattle, WA",2010,"344,373","1,434","11,732","23,784","8,080","37,252","11,146","9,889","21,374","69,791","84,081","35,020","17,024","13,766",,,,,,,,,
"Seattle, WA",2011,"354,009","1,803","10,081","26,159","7,109","42,354","11,098","14,224","20,674","66,381","84,736","40,592","18,095","10,703",,,,,,,,,
"Seattle, WA",2012,"371,305","2,085","10,426","24,745","5,249","36,383","9,869","13,011","22,705","76,999","90,877","46,898","19,194","12,864",,,,,,,,,
"Seattle, WA",2013,"382,794","1,005","12,409","27,248","9,316","44,783","11,822","16,350","22,310","76,056","88,035","40,645","19,922","12,893",,,,,,,,,
"Seattle, WA",2014,"390,943","2,117","11,422","28,337","7,158","47,514","14,655","15,890","20,538","81,877","87,413","41,633","19,157","13,232",,,,,,,,,
"Seattle, WA",2015,"415,016","1,367","13,960","25,659","8,984","49,858","13,169","15,587","26,631","84,125","96,607","47,565","19,008","12,496",,,,,,,,,
"Seattle, WA",2016,"425,827","3,015","12,887","29,896","9,916","50,550","15,128","18,031","26,329","87,752","94,157","48,282","18,679","11,205",,,,,,,,,
"Atlanta, GA",2005,"194,045","1,358","10,899","10,839","5,384","21,750","10,668","6,666","18,053","33,476","37,235","19,691","7,985","10,041",,,,,,,,,
"Atlanta, GA",2006,"209,905",466,"12,949","11,749","6,379","18,892","12,801","9,584","18,528","37,101","35,677","26,354","9,438","9,987",,,,,,,,,
"Atlanta, GA",2007,"212,713",278,"10,120","8,865","5,605","23,999","11,429","8,216","20,107","40,426","38,486","25,492","10,999","8,691",,,,,,,,,
"Atlanta, GA",2008,"219,565",208,"13,660","13,390","6,967","17,360","12,355","8,962","17,651","39,991","43,385","26,688","10,199","8,749",,,,,,,,,
"Atlanta, GA",2009,"257,552",157,"10,003","14,177","10,509","27,302","11,672","9,552","23,122","47,192","53,027","29,427","12,603","8,809",,,,,,,,,
"Atlanta, GA",2010,"192,234",664,"7,755","11,038","5,093","20,174","11,482","9,981","13,693","35,458","37,327","21,629","8,929","9,011",,,,,,,,,
"Atlanta, GA",2011,"203,943",272,"6,703","8,311","6,879","19,450","13,454","8,348","15,307","38,832","43,935","24,554","10,249","7,649",,,,,,,,,
"Atlanta, GA",2012,"208,734",509,"5,645","11,105","4,049","19,395","11,287","7,440","15,894","45,505","47,875","24,157","7,276","8,597",,,,,,,,,
"Atlanta, GA",2013,"209,697",579,"6,345","10,554","5,745","23,076","9,160","7,967","18,606","41,711","42,986","24,094","9,949","8,925",,,,,,,,,
"Atlanta, GA",2014,"217,487",246,"3,933","10,675","5,832","20,839","10,176","9,131","20,303","42,291","50,248","22,916","12,291","8,606",,,,,,,,,
"Atlanta, GA",2015,"234,514",160,"7,893","12,244","6,611","21,792","13,677","9,255","17,906","45,595","51,642","28,035","9,721","9,983",,,,,,,,,
"Atlanta, GA",2016,"238,663",264,"7,296","13,301","6,492","22,859","12,369","9,406","20,265","45,677","48,666","30,173","12,373","9,522",,,,,,,,,
"Virginia Beach, VA",2005,"205,742",565,"12,766","13,164","5,698","26,664","8,844","6,639","16,812","23,349","40,086","20,080","10,062","21,013",,,,,,,,,
"Virginia Beach, VA",2006,"213,221","1,121","17,550","12,602","4,635","22,988","8,836","7,181","18,151","25,269","45,353","18,581","8,655","22,299",,,,,,,,,
"Virginia Beach, VA",2007,"209,817",781,"15,106","13,611","4,093","25,527","9,570","6,609","15,661","24,332","47,158","18,832","9,217","19,320",,,,,,,,,
"Virginia Beach, VA",2008,"206,902",491,"16,656","12,158","4,552","30,981","9,644","6,014","16,943","24,912","40,687","16,895","9,992","16,977",,,,,,,,,
"Virginia Beach, VA",2009,"207,313",744,"15,819","12,673","5,754","27,730","9,171","5,280","15,056","25,497","42,537","21,908","10,468","14,676",,,,,,,,,
"Virginia Beach, VA",2010,"213,470",467,"14,883","13,232","5,265","25,255","7,393","4,674","15,716","27,886","44,330","23,527","9,312","21,53",,,,,,,,,
"Virginia Beach, VA",2011,"213,433",429,"12,039","13,932","4,784","25,176","8,677","5,342","15,279","25,460","43,727","25,549","10,628","22,411",,,,,,,,,
