,city,year,dtotal,dconstruction,dwhosale,dretail,dfire,dstem,dedu,dser
1,"Portland, OR",2006,21074,1731,1272,1179,-571,4971,2779,3026
2,"Portland, OR",2007,4094,1020,-935,1906,-2715,-1474,1292,539
3,"Portland, OR",2008,8807,-2176,-99,-879,2391,3328,7987,-1595
4,"Portland, OR",2009,-2036,-3476,1109,-377,-2056,-1098,3938,2528
5,"Portland, OR",2010,-3497,266,-2269,242,-457,-2387,1811,-1329
6,"Portland, OR",2011,15239,-745,1790,4146,1169,1037,1906,1479
7,"Portland, OR",2012,6890,1475,383,-2158,288,3541,7249,1768
8,"Portland, OR",2013,5834,1334,-805,1630,-492,4083,-2672,-615
9,"Portland, OR",2014,13619,-1091,318,848,2581,628,-1639,1595
10,"Portland, OR",2015,9552,795,-1115,-1080,-336,3304,12797,-2416
11,"Portland, OR",2016,9871,-543,1982,3894,433,3422,-5601,-747
13,"Washington, DC",2006,32975,-658,257,1643,1643,13370,7202,-367
14,"Washington, DC",2007,4062,128,537,3480,-1035,-6136,131,5184
15,"Washington, DC",2008,13944,1798,-435,-450,991,1144,4488,147
16,"Washington, DC",2009,-12439,-3319,608,-1426,-1107,609,-3924,-1215
17,"Washington, DC",2010,5200,1579,269,1126,-3028,1907,-1374,1806
18,"Washington, DC",2011,11480,1952,-981,-1684,2622,-1653,6162,1593
19,"Washington, DC",2012,16350,-150,-95,1173,-1634,5883,4254,1837
20,"Washington, DC",2013,6154,-2375,207,2666,-148,9233,1427,-398
21,"Washington, DC",2014,12481,1331,-241,-1030,6745,1006,-1491,107
22,"Washington, DC",2015,15587,-282,325,1038,-693,2168,3951,1923
23,"Washington, DC",2016,3618,317,94,-1131,1607,259,-2830,2904
25,"Minneapolis, MN",2006,4169,-753,208,969,1149,-1009,4517,-1348
26,"Minneapolis, MN",2007,-3095,331,-1063,279,-879,-446,-3276,-436
27,"Minneapolis, MN",2008,1364,-1410,1093,4994,-1590,-61,1538,2059
28,"Minneapolis, MN",2009,14918,968,-238,-718,-390,4342,8459,-1580
29,"Minneapolis, MN",2010,-8170,-187,-715,1410,-718,-3298,894,-731
30,"Minneapolis, MN",2011,-777,-2016,435,-4079,2479,3652,-1169,-401
31,"Minneapolis, MN",2012,13932,1164,-492,537,250,-533,2499,2210
32,"Minneapolis, MN",2013,3988,18,95,1830,-267,2100,2248,-1488
33,"Minneapolis, MN",2014,8547,507,433,224,363,-2196,1563,83
34,"Minneapolis, MN",2015,8762,2556,831,608,-302,3094,1446,2063
35,"Minneapolis, MN",2016,-2084,-733,-691,-680,2024,-1056,-1790,-494
37,"Seattle, WA",2006,17329,4413,-2189,-1760,3509,5029,740,4369
38,"Seattle, WA",2007,5362,-1736,-261,6259,-672,835,5175,-6108
39,"Seattle, WA",2008,13935,1371,29,-2269,-1437,7751,1767,5578
40,"Seattle, WA",2009,14285,-2682,996,2235,-126,166,5183,58
41,"Seattle, WA",2010,-16479,-2736,-1618,2921,-1922,5541,-482,-2028
42,"Seattle, WA",2011,9636,-1651,-971,5102,-700,-3410,655,1071
43,"Seattle, WA",2012,17296,345,-1860,-5971,2031,10618,6141,1099
44,"Seattle, WA",2013,11489,1983,4067,8400,-395,-943,-2842,728
45,"Seattle, WA",2014,8149,-987,-2158,2731,-1772,5821,-622,-765
46,"Seattle, WA",2015,24073,2538,1826,2344,6093,2248,9194,-149
47,"Seattle, WA",2016,10811,-1073,932,692,-302,3627,-2450,-329
49,"Atlanta, GA",2006,15860,2050,995,-2858,475,3625,-1558,1453
50,"Atlanta, GA",2007,2808,-2829,-774,5107,1579,3325,2809,1561
51,"Atlanta, GA",2008,6852,3540,1362,-6639,-2456,-435,4899,-800
52,"Atlanta, GA",2009,37987,-3657,3542,9942,5471,7201,9642,2404
53,"Atlanta, GA",2010,-65318,-2248,-5416,-7128,-9429,-11734,-15700,-3674
54,"Atlanta, GA",2011,11709,-1052,1786,-724,1614,3374,6608,1320
55,"Atlanta, GA",2012,4791,-1058,-2830,-55,587,6673,3940,-2973
56,"Atlanta, GA",2013,963,700,1696,3681,2712,-3794,-4889,2673
57,"Atlanta, GA",2014,7790,-2412,87,-2237,1697,580,7262,2342
58,"Atlanta, GA",2015,17027,3960,779,953,-2397,3304,1394,-2570
59,"Atlanta, GA",2016,4149,-597,-119,1067,2359,82,-2976,2652
61,"Virginia Beach, VA",2006,7479,4784,-1063,-3676,1339,1920,5267,-1407
62,"Virginia Beach, VA",2007,-3404,-2444,-542,2539,-2490,-937,1805,562
63,"Virginia Beach, VA",2008,-2915,1550,459,5454,1282,580,-6471,775
64,"Virginia Beach, VA",2009,411,-837,1202,-3251,-1887,585,1850,476
65,"Virginia Beach, VA",2010,6157,-936,-489,-2475,660,2389,1793,-1156
66,"Virginia Beach, VA",2011,-37,-2844,-481,-79,-437,-2426,-603,1316
67,"Virginia Beach, VA",2012,-1117,2868,-753,-941,1947,-86,2466,1501
68,"Virginia Beach, VA",2013,6565,-2192,-658,641,-264,1578,3537,-964
69,"Virginia Beach, VA",2014,-1474,662,1536,3775,605,-2633,-5308,-2091
70,"Virginia Beach, VA",2015,-118,2201,941,-3736,-2285,956,4439,953
71,"Virginia Beach, VA",2016,7464,-733,-1728,3357,1756,2517,248,-571
73,"Denver, CO",2006,1954,2157,-35,2236,-1171,-5485,1207,-3805
74,"Denver, CO",2007,18071,2776,-280,-1211,735,5340,4689,1916
75,"Denver, CO",2008,14601,-4904,2304,3894,-2858,6913,1475,-266
76,"Denver, CO",2009,667,-3627,541,579,1882,-2374,4634,2939
77,"Denver, CO",2010,-10917,-117,-1522,-3435,-1177,-481,551,-2728
78,"Denver, CO",2011,17640,410,1618,1615,674,3923,4999,628
79,"Denver, CO",2012,14861,1087,-1661,-198,4205,3591,1761,385
80,"Denver, CO",2013,13323,155,507,6264,-80,2541,2954,759
81,"Denver, CO",2014,12793,5466,82,-5231,1147,-1147,3900,1000
82,"Denver, CO",2015,12216,3059,1226,4783,-916,4541,-2547,538
83,"Denver, CO",2016,12054,-1859,-1600,-601,4433,2574,10094,1740
85,"Austin, TX",2006,26319,6317,1136,5514,3657,2177,1650,2636
86,"Austin, TX",2007,27401,2119,2387,-1901,-3423,7872,7163,-530
87,"Austin, TX",2008,13756,-618,-1380,466,5785,4456,2546,726
88,"Austin, TX",2009,7593,-1993,459,5905,-2229,-3278,9146,3401
89,"Austin, TX",2010,-18470,-8601,-1761,-3557,-640,485,-3329,-2462
90,"Austin, TX",2011,25773,-3221,-21,2400,2401,2304,11535,5716
91,"Austin, TX",2012,13490,3440,1013,4363,100,7325,-5710,-5484
92,"Austin, TX",2013,34258,3277,-414,1949,4049,7541,3573,8230
93,"Austin, TX",2014,10122,-2025,775,1872,1740,4231,9134,-5036
94,"Austin, TX",2015,27320,6246,1259,-2800,3325,9475,-2117,2798
95,"Austin, TX",2016,18137,2841,1992,9348,-2014,2853,2715,56
97,"Sacramento, CA",2006,545,23,-369,134,125,177,242,-1563
98,"Sacramento, CA",2007,12579,-1209,-986,2782,581,4413,6440,1877
99,"Sacramento, CA",2008,6041,98,-985,-2518,-1646,-1557,3991,-598
100,"Sacramento, CA",2009,-13777,-4279,683,-499,-44,-1940,-2294,-296
101,"Sacramento, CA",2010,-6595,-1227,638,3423,-2522,349,-3105,-328
102,"Sacramento, CA",2011,2877,1307,746,-2378,-1362,2175,3997,1735
103,"Sacramento, CA",2012,5561,-631,-2887,2361,2366,-2780,4523,-3247
104,"Sacramento, CA",2013,1874,2537,586,-289,2904,2117,-7553,1475
105,"Sacramento, CA",2014,6898,394,1696,-1319,-3601,-15,5570,1120
106,"Sacramento, CA",2015,5445,1386,-311,3006,2697,708,3608,-1304
107,"Sacramento, CA",2016,10849,-2245,-541,-2480,678,6,1172,2891
109,"New York, NY",2006,171167,10029,13310,18800,3141,7228,51079,15853
110,"New York, NY",2007,93601,7439,-1816,3887,14192,18032,15235,395
111,"New York, NY",2008,119422,3402,3475,23904,2635,23348,49525,4776
112,"New York, NY",2009,-95391,-15383,-17876,-18027,-20878,-11894,23109,4122
113,"New York, NY",2010,-131775,-11552,-3693,3346,-18529,-15545,-45214,-2789
114,"New York, NY",2011,35494,-6246,-5245,15296,2561,5055,7845,-2473
115,"New York, NY",2012,101760,5419,1869,16798,-2801,24803,39071,-4413
116,"New York, NY",2013,64724,7134,4928,-13049,16216,27723,11138,2974
117,"New York, NY",2014,92517,11092,-2108,12512,-8555,9183,26572,3772
118,"New York, NY",2015,99058,2874,3307,-10035,1607,21184,34044,5943
119,"New York, NY",2016,22034,-447,-8086,10776,13909,4037,-6186,2540
121,"Oakland, CA",2006,740,2606,-2570,1445,875,-311,-2935,-498
122,"Oakland, CA",2007,-2886,-1448,1163,-2835,-1346,1508,-931,-1280
123,"Oakland, CA",2008,8795,238,-4,1929,-868,-860,4126,2314
124,"Oakland, CA",2009,21583,294,-744,2046,2280,5228,5385,1386
125,"Oakland, CA",2010,-19768,-3429,1238,-3959,-810,-4320,-3285,-1645
126,"Oakland, CA",2011,4982,-1032,-1996,3589,-675,-1524,4821,906
127,"Oakland, CA",2012,4658,290,1488,235,210,3608,-3353,808
128,"Oakland, CA",2013,7675,2278,60,-112,1081,3649,-1480,-1236
129,"Oakland, CA",2014,9894,-658,-1039,-471,-870,-913,7002,2383
130,"Oakland, CA",2015,11747,1868,1309,-2277,984,6297,-2068,835
131,"Oakland, CA",2016,5405,-696,-106,3206,1790,3411,-943,-292
133,"Philadelphia, PA",2006,12616,3864,1422,10150,-21,3165,-4768,-5096
134,"Philadelphia, PA",2007,24765,-334,-83,-8383,-735,4477,17959,5714
135,"Philadelphia, PA",2008,957,346,-796,4982,327,2836,-3678,-2209
136,"Philadelphia, PA",2009,39594,3034,2623,7381,1195,331,18511,3652
137,"Philadelphia, PA",2010,-36299,-9008,-4950,-3747,-5030,1518,-4147,-102
138,"Philadelphia, PA",2011,-1496,2593,-66,439,-525,1300,1992,-699
139,"Philadelphia, PA",2012,18190,-3427,94,6516,2799,-1858,731,-915
140,"Philadelphia, PA",2013,25847,5827,-494,2259,3032,-1918,16856,219
141,"Philadelphia, PA",2014,12084,4117,2789,618,-126,7280,-6946,1724
142,"Philadelphia, PA",2015,24225,-5542,503,2224,-5208,4115,4999,2705
143,"Philadelphia, PA",2016,2381,6636,-642,-10040,10505,-5886,13101,851
145,"Albuquerque, NM",2006,8211,3586,-502,-143,-1198,-2075,3532,801
146,"Albuquerque, NM",2007,-748,-1637,786,-2014,-405,152,103,-1491
147,"Albuquerque, NM",2008,5395,1834,-1410,428,23,-444,5575,303
148,"Albuquerque, NM",2009,1217,-4791,174,-882,2788,-426,-2461,4176
149,"Albuquerque, NM",2010,3936,-1423,-309,5127,-5243,2582,5575,-4580
150,"Albuquerque, NM",2011,-6007,-2220,-617,-2144,1150,1301,41,422
151,"Albuquerque, NM",2012,2822,2005,427,-3093,604,-590,4152,1116
152,"Albuquerque, NM",2013,6794,-1083,362,1696,-793,-18,-1551,3984
153,"Albuquerque, NM",2014,-3871,-628,254,2860,991,1071,265,-2826
154,"Albuquerque, NM",2015,834,833,-414,1541,-2149,2548,-1922,472
155,"Albuquerque, NM",2016,7777,-2028,-2252,-1744,3236,2646,7373,-1191
157,"San Diego, CA",2006,27925,9617,3773,6629,-5838,3964,-113,2535
158,"San Diego, CA",2007,1457,-7499,-472,-3906,379,6540,3024,-37
159,"San Diego, CA",2008,-4136,-1508,-3567,4299,5456,-7686,8258,491
160,"San Diego, CA",2009,6047,-910,-996,-941,-10791,12239,46,815
161,"San Diego, CA",2010,-5403,-6503,1263,-825,1035,-7926,5080,-691
162,"San Diego, CA",2011,18001,-992,-1045,7074,601,-2944,8399,4125
163,"San Diego, CA",2012,19021,4255,-1278,-1495,1190,7440,1938,-1482
164,"San Diego, CA",2013,-2263,723,3311,-995,-4070,1967,-7577,-1329
165,"San Diego, CA",2014,40040,-980,313,-1418,3562,2623,23648,-702
166,"San Diego, CA",2015,9627,-1138,2109,-903,-858,7881,-4481,7401
167,"San Diego, CA",2016,11236,4545,-3502,5178,3259,9377,-9690,1856
169,"Baltimore, MD",2006,3422,55,396,-146,242,1624,4383,-2492
170,"Baltimore, MD",2007,4624,1890,-1042,-525,259,-556,3513,-1144
171,"Baltimore, MD",2008,17034,-2028,-1303,3625,1954,1802,5433,1214
172,"Baltimore, MD",2009,-14486,401,994,-6068,-3601,6637,-3956,979
173,"Baltimore, MD",2010,-9807,-775,-740,-1134,-711,-7216,-2817,-1500
174,"Baltimore, MD",2011,-241,-59,-1028,2905,-1380,-1093,1401,1617
175,"Baltimore, MD",2012,595,-1128,1898,4068,305,5384,2352,-1375
176,"Baltimore, MD",2013,11163,400,-396,-3840,1399,879,4194,78
177,"Baltimore, MD",2014,-4489,123,634,1090,-1733,-2653,222,39
178,"Baltimore, MD",2015,125,-1434,-323,1552,464,3881,-4777,1090
179,"Baltimore, MD",2016,12336,-1325,-1007,-2940,1898,1479,9415,-1329
181,"Long Beach, CA",2006,-1877,3218,-941,1566,442,-1385,2883,2327
182,"Long Beach, CA",2007,-101,-1812,-1792,-3686,-1425,379,3149,-2697
183,"Long Beach, CA",2008,7852,-1963,1910,5213,-2245,-210,-870,1422
184,"Long Beach, CA",2009,-5215,2032,-871,-1735,1712,4045,3015,-443
185,"Long Beach, CA",2010,311,-3536,903,1995,706,-1087,-2,-36
186,"Long Beach, CA",2011,-10961,693,-1422,-1155,-1022,-4245,97,-1049
187,"Long Beach, CA",2012,8925,1815,15,-2323,2045,3630,3788,813
188,"Long Beach, CA",2013,3463,1569,347,81,1331,2301,-9326,-796
189,"Long Beach, CA",2014,3871,-1158,-406,11,-185,-3724,5534,1041
190,"Long Beach, CA",2015,4044,-200,1370,-625,-1481,4418,1294,-1162
191,"Long Beach, CA",2016,7132,-956,-1774,1055,-336,168,2194,3810
193,"Fort Worth, TX",2006,20299,-2330,1979,-3197,4180,5278,3124,2927
194,"Fort Worth, TX",2007,2939,2955,-764,554,-3209,-205,3895,-989
195,"Fort Worth, TX",2008,11706,5949,101,1635,4893,-1507,135,113
196,"Fort Worth, TX",2009,19906,-9445,-546,4515,144,2787,10478,292
197,"Fort Worth, TX",2010,-2879,3805,-3372,-5401,3422,3532,-3909,1491
198,"Fort Worth, TX",2011,-324,-5202,460,3029,-6702,-795,12790,85
199,"Fort Worth, TX",2012,20834,2240,509,3631,1493,2412,-4319,990
200,"Fort Worth, TX",2013,11618,1758,471,743,5278,-136,5371,1681
201,"Fort Worth, TX",2014,8982,-1857,3652,2177,-4148,4093,-1763,432
202,"Fort Worth, TX",2015,19810,4136,-547,-1417,-2546,520,8342,-3221
203,"Fort Worth, TX",2016,11285,5720,3304,-2699,7017,-740,2778,4828
205,"Omaha, NE",2006,4026,25,-1612,3216,-2242,1477,3660,-420
206,"Omaha, NE",2007,-2178,768,-584,-2859,2378,723,-3768,-26
207,"Omaha, NE",2008,9102,862,-221,4571,-3817,2323,4807,-679
208,"Omaha, NE",2009,34189,2795,1174,834,6725,3605,10364,1695
209,"Omaha, NE",2010,-26454,-4543,-1734,429,-4000,-1990,-5334,-1395
210,"Omaha, NE",2011,702,1163,-608,-2810,1290,-2132,-1321,829
211,"Omaha, NE",2012,729,243,-43,-137,-2769,-1648,816,575
212,"Omaha, NE",2013,14180,1549,942,1551,3843,2985,3051,-665
213,"Omaha, NE",2014,5239,2522,-218,1926,2547,195,-1610,1558
214,"Omaha, NE",2015,-524,-3128,140,-1217,-2283,4414,4191,-1503
215,"Omaha, NE",2016,-828,1736,150,2563,-2628,-1691,-3147,602
217,"Boston, MA",2006,36127,1067,1488,1589,4741,3174,7234,2188
218,"Boston, MA",2007,16276,-2719,877,12,3333,3806,7360,1890
219,"Boston, MA",2008,12972,609,-1427,6391,-1341,-2626,5818,-1208
220,"Boston, MA",2009,20660,-1342,281,1402,-556,6000,6559,3550
221,"Boston, MA",2010,-29439,-135,239,-5460,-436,-4020,-11740,-2891
222,"Boston, MA",2011,-1729,1415,-254,4643,-370,2615,2815,-1292
223,"Boston, MA",2012,15530,1099,-282,-2355,234,-1584,9761,1070
224,"Boston, MA",2013,16086,-3576,633,778,84,10921,6547,2232
225,"Boston, MA",2014,-2852,3000,-68,-3233,1527,-3259,-6539,-479
226,"Boston, MA",2015,21107,1436,693,7138,-993,3575,9215,-1399
227,"Boston, MA",2016,2358,101,1485,-3634,2366,3936,-8214,2886
229,"San Francisco, CA",2006,13350,-1428,-2648,-1463,4471,6858,1687,-1667
230,"San Francisco, CA",2007,23399,4385,774,3022,391,3359,4521,1249
231,"San Francisco, CA",2008,24250,836,-518,785,1262,1588,11342,3225
232,"San Francisco, CA",2009,-6555,-1282,616,5738,1566,-3431,-2544,-1275
233,"San Francisco, CA",2010,268,-3772,712,-2002,-6472,5116,-1288,2149
234,"San Francisco, CA",2011,4021,177,-1578,7547,-2201,4857,-5047,-108
235,"San Francisco, CA",2012,6599,-1437,-1635,-4319,6724,3836,1712,-2200
236,"San Francisco, CA",2013,22052,5064,3550,2633,-3529,7725,4454,189
237,"San Francisco, CA",2014,13768,-4960,-1883,-731,-2291,6112,3044,-1774
238,"San Francisco, CA",2015,13215,1706,-291,3186,9043,2757,-4005,1226
239,"San Francisco, CA",2016,5045,95,2569,-6602,-144,10693,3428,2810
